family,N,dtype,cpu_solver,gpu_solver,t_cpu_s,t_gpu_s,gflops_cpu,gflops_gpu,speedup,residual_cpu,residual_gpu,rss_delta_bytes,gpu_pool_used_delta_bytes,gpu_pool_total_delta_bytes,theo_bytes
real_symmetric_eigh_float32,256,<class 'numpy.float32'>,eigh,eigh,0.0043166995001229225,0.0020452960729599,5.18211224401799,10.93710667569052,2.1105499380712667,1.3626798818222596e-06,9.833777312451275e-07,,263168,3934720,525312
real_symmetric_eigh_float32,384,<class 'numpy.float32'>,eigh,eigh,0.011516484499225044,0.0035240960121154783,6.555600539824484,21.42321654700879,3.2679258623012992,1.2818049981433433e-06,1.0579705076452228e-06,,591360,3211776,1181184
real_symmetric_eigh_float32,512,<class 'numpy.float32'>,eigh,eigh,0.022380208498361753,0.005235712051391602,7.996215525863685,34.18006355393468,4.274530050294365,1.3269338978716405e-06,1.1570064089028165e-06,,1050624,11011072,2099200
real_symmetric_eigh_float32,768,<class 'numpy.float32'>,eigh,eigh,0.05282972349959891,0.009186816215515137,11.432574997379751,65.744188392489,5.750601977905853,1.3384425301410374e-06,1.4214933798939455e-06,,2362368,19918848,4721664
real_symmetric_eigh_float32,1024,<class 'numpy.float32'>,eigh,eigh,0.09413553750164283,0.014606848239898681,15.208451593622105,98.01264049713052,6.444616658952554,1.638390244806942e-06,1.5044191741253599e-06,,4198400,34859008,8392704
real_symmetric_eigh_float32,1536,<class 'numpy.float32'>,eigh,eigh,0.25306692000049225,0.03164510440826416,19.093124490512633,152.688331997987,7.997032233978141,1.6484211755596334e-06,1.4646008139607147e-06,,9443328,86759424,18880512
real_symmetric_eigh_float32,2048,<class 'numpy.float32'>,eigh,eigh,0.49190660750173265,0.05479321479797363,23.283375234243675,209.02672283229913,8.97750952039274,2.6502541459194617e-06,1.8128653209714685e-06,,16785408,136562688,33562624
real_symmetric_eigh_float64,256,<class 'numpy.float64'>,eigh,eigh,0.0036511225007416215,0.006428575992584228,6.126779183330491,3.4797164036231534,0.5679519857824539,3.3460823177915252e-15,2.5079079369891307e-15,,526336,0,1050624
real_symmetric_eigh_float64,384,<class 'numpy.float64'>,eigh,eigh,0.007375789500656538,0.010328432083129883,10.235849598647004,7.309674052397077,0.7141248004819537,3.614093656120295e-15,2.7206248580386574e-15,,1182720,0,2362368
real_symmetric_eigh_float64,512,<class 'numpy.float64'>,eigh,eigh,0.014573389000361203,0.01589633560180664,12.279708629353898,11.257749908496393,0.9167766311315746,4.034306614823253e-15,3.020891724576067e-15,,2101248,0,4198400
real_symmetric_eigh_float64,768,<class 'numpy.float64'>,eigh,eigh,0.04194470050060772,0.03141359996795654,14.399429934927038,19.226697246291092,1.3352401680607582,4.42085059086315e-15,3.43123803996572e-15,,4724736,0,9443328
real_symmetric_eigh_float64,1024,<class 'numpy.float64'>,eigh,eigh,0.08912842199970328,0.0545664005279541,16.06284205657876,26.23694712279772,1.6333938309535962,3.560215687250717e-15,3.768805470115616e-15,,8396800,34859008,16785408
real_symmetric_eigh_float64,1536,<class 'numpy.float64'>,eigh,eigh,0.31175401149994286,0.13122815704345703,15.498880623067413,36.82013309384438,2.375664023054927,3.4339127103139837e-15,4.394177933871568e-15,,18886656,173518848,37761024
complex_hermitian_eigh_complex64,256,<class 'numpy.complex64'>,eigh,eigh,0.004109914500077139,0.001991712033748627,5.442843478353011,11.231353204826092,2.0635083940030303,1.5967793842719402e-06,1.3075062952339067e-06,,525312,0,1050624
complex_hermitian_eigh_complex64,384,<class 'numpy.complex64'>,eigh,eigh,0.012097102498955792,0.0033320480585098265,6.2409549730207585,22.657978118648238,3.6305306185667416,1.5143226619329653e-06,1.3365549875743454e-06,,1181184,0,2362368
complex_hermitian_eigh_complex64,512,<class 'numpy.complex64'>,eigh,eigh,0.02500807599790278,0.005184000015258789,7.155967163634432,34.52102047452116,4.824088719963933,1.3857106750947423e-06,1.382965706397954e-06,,2099200,0,4198400
complex_hermitian_eigh_complex64,768,<class 'numpy.complex64'>,eigh,eigh,0.05880752900156949,0.010184495925903321,10.270449825971783,59.30384580584233,5.774220877441563,1.5387897747132229e-06,1.5745408745715395e-06,,4721664,19918848,9443328
complex_hermitian_eigh_complex64,1024,<class 'numpy.complex64'>,eigh,eigh,0.13800276599977224,0.016864063262939454,10.374109206881377,84.89388014094722,8.18324527417113,1.547538090562739e-06,1.5941802757879486e-06,,8392704,69718016,16785408
complex_hermitian_eigh_complex64,1536,<class 'numpy.complex64'>,eigh,eigh,0.38256421299956855,0.03837638473510742,12.630136441971507,125.90655011804033,9.968740297977881,1.7541473198434687e-06,1.933352677951916e-06,,18880512,173518848,37761024
