N,dtype,t_numpy_s,t_cupy_s,gflops_numpy,gflops_cupy,speedup,rss_delta_bytes,cupy_pool_used_delta_bytes,cupy_pool_total_delta_bytes,theo_bytes
256,float32,5.677900117007084e-05,1.1264000087976456e-05,590.9655208532816,2978.9090676425903,5.040749354279437,,786432,786432,786432
512,float32,0.0004158299998380244,4.812800139188767e-05,645.541341665012,5577.531753588397,8.640084520694758,,3145728,3145728,3145728
1024,float32,0.002950893000161159,0.00029286399483680726,727.7402629924969,7332.699429974802,10.075984252709134,,12582912,12582912,12582912
1536,float32,0.007545731499703834,0.0008200159966945648,960.5108944420393,8838.556005267304,9.201932072203743,,28311552,28311552,28311552
2048,float32,0.015964297999744304,0.0020642880201339722,1076.1431028332825,8322.418682100875,7.733561326732023,,50331648,50331648,50331648
3072,float32,0.06042377399899124,0.0069437439441680905,959.5901523292471,8350.258731055017,8.701901234382344,,113246208,113246208,113246208
4096,float32,0.1699580349995813,0.016722943305969237,808.6640532902054,8218.586343167313,10.16316517313761,,201326592,201326592,201326592
6144,float32,0.4849557840007037,0.06030892753601074,956.4922891348109,7691.340020779331,8.041193962720268,,452984832,452984832,452984832
8192,float32,1.5642962160000025,0.1464338836669922,702.8794268821515,7508.587495203079,10.682610997038058,,805306368,805306368,805306368
256,float64,0.000113453001176822,0.00022910399734973907,295.75623079114314,146.4593913164135,0.4952030627542048,,1572864,1572864,1572864
512,float64,0.0007683929998165695,0.0012997919917106628,349.3465662285846,206.52185712170046,0.5911661286705449,,6291456,6291456,6291456
1024,float64,0.0060126959997433005,0.009455023765563965,357.1581946088215,227.1262030901843,0.6359260588685216,,25165824,25165824,25165824
1536,float64,0.015119438501642435,0.03094118309020996,479.36683040264165,234.24305692736257,0.4886509496925587,,56623104,56623104,56623104
2048,float64,0.041083050000452204,0.07522252655029296,418.1741419833946,228.38729263518857,0.5461535511305183,,100663296,100663296,100663296
3072,float64,0.12367315149822389,0.24614246368408202,468.83303120833546,235.5630053756941,0.5024454116822176,,226492416,226492416,226492416
4096,float64,0.30387984050139494,0.5846322021484375,452.28058973977613,235.0861840434585,0.519779511605213,,402653184,402653184,402653184
6144,float64,1.4039541399997688,1.98319189453125,330.39289158553026,233.8938905746374,0.7079265218213335,,905969664,905969664,905969664
